x,y
3.35266395624798,-4.696026697485131
3.919873431212712,-6.004235166800162
3.115902099133025,-5.099063761742552
3.3777414422945675,-5.335751532756808
2.5591444024219143,-4.183465270471537
4.21840096683412,-6.1224706742276735
1.3850189342894594,-2.12916472754245
1.3973707701011482,-1.7633150076888628
2.997836480664095,-4.438229890699492
3.4132479858057003,-5.0381775476748025
3.3766558953071595,-5.027356113051828
3.0662227361478887,-4.426031813113901
1.7406942898083535,-2.5776910990827715
1.383066310869106,-1.755565033765815
1.2503527955312501,-2.0671978305407017
3.772895405833798,-5.485900688174036
3.8148820269654333,-5.5850311248999684
3.247018444351065,-4.922611363120381
2.878608974283192,-4.270433694523898
0.025995457622220552,-0.11441659297163684
2.9741385982591924,-4.482516974487561
5.205136534652418,-7.563419953634657
3.4296217901541723,-4.939467244900834
2.858128783897536,-4.154817745811645
2.2138906224961663,-3.374242984102592
2.6412163070091808,-4.5114820224662795
4.70887571565388,-6.635543616709712
4.2290632719824615,-6.538437565543122
3.8767358804388654,-5.825051572229219
3.6551174851146033,-4.958795677960602
3.1666938762362618,-4.695019259885342
3.768188119823753,-5.856393262609831
1.6330020221600978,-2.63021282869905
3.6173475360695098,-5.549548213458071
4.540964954397494,-6.751744092438085
1.873048936994274,-2.6844750473151504
2.2414414648733034,-2.789680905416725
3.2258928664604243,-5.188692729850495
2.9606433163287593,-4.2106598433487905
3.6266155820403303,-5.052456256364008
3.0852347920845293,-4.7900013349567585
3.54025123685849,-5.211626605102259
3.9356665541426805,-5.027210384878991
5.578367511517617,-8.33509914393761
3.688728212567402,-5.188964580114447
2.9651615180197477,-4.886846477150672
3.041471140389834,-4.492046697495347
5.182757040934156,-7.7145233442070715
2.114807024714458,-3.3248697054603378
1.5858906392169974,-1.7372292473915312
4.249281379398424,-6.340474704659111
3.3165895982178752,-5.169386184126911
2.123137752889301,-3.6575913828615443
2.7601141842994585,-4.078113935450848
2.3165898393857947,-3.653289297725857
3.763339791294211,-5.437353456825897
3.146698926549293,-4.57851183671849
3.394649858767119,-5.026519447745763
2.597595508688674,-3.670529866095833
2.8672542603553075,-4.872468632663981
2.4914306659966585,-3.9347876341446373
3.571934959332141,-5.10628928328798
3.379569273444343,-5.141626778936151
4.451534538723635,-6.271872329554469
3.65832175767978,-5.6803592281599755
1.349584828708274,-2.265186533595889
3.8176757626913758,-5.017559017955645
5.243006063403551,-8.072013945879737
1.4786995774265053,-1.9704981041987786
2.8384974670351295,-4.426088653387999
3.6669592439394214,-5.346542741304486
3.209880954769124,-5.123488360340352
2.9617259847330817,-4.461841303641821
1.5176639048513854,-2.505602464297709
2.4572825250528565,-3.071976867926806
4.851991518398027,-7.566082255120071
0.167520783319409,-0.7887223005340269
4.585407217019145,-6.953748856130917
2.3510056034186806,-3.379274906983868
2.7819711469606645,-3.6794521815153054
3.6905110850966745,-5.343175666890194
5.584611305864697,-8.582527418238378
4.775293203524152,-6.73847870561679
3.9487012006443107,-5.373451652622213
2.682193676612255,-3.7997242831077345
0.6913512710073246,-0.7947882491196817
1.4150340688961582,-1.9087478994614102
4.9958504951299485,-7.164179755284904
3.5107417950310134,-4.769209993373986
3.269602949617241,-5.422234088040854
3.710664358218278,-5.654396770114079
4.229899920040982,-5.954152205257923
1.8573095026953672,-2.907618401972276
3.4153831470781504,-5.263107320371993
1.6022385014497706,-2.6128544007917105
1.944245442712099,-3.4096373465217993
1.9650566524953124,-3.06842292174851
3.4228163494672175,-5.617268691398383
3.156237399339224,-4.592998553920902
3.4523090269245604,-4.673332709486327
