"congress","state","party","name","economic","racial"
80,"USA","Democrat","TRUMAN",-0.275999993085861,0.0160000007599592
80,"ALABAMA","Democrat","BOYKIN  F.",-0.0260000005364418,0.796000003814697
80,"ALABAMA","Democrat","GRANT  G.",-0.0419999994337559,0.999000012874603
80,"ALABAMA","Democrat","ANDREWS  G.",-0.00800000037997961,1.00499999523163
80,"ALABAMA","Democrat","HOBBS  S.",-0.0820000022649765,1.06599998474121
80,"ALABAMA","Democrat","RAINS  A.",-0.170000001788139,0.870000004768372
80,"ALABAMA","Democrat","JARMAN  P.",-0.123999997973442,0.990000009536743
80,"ALABAMA","Democrat","MANASCO  C.",-0.0309999994933605,0.892000019550323
80,"ALABAMA","Democrat","JONES  R.",-0.224999994039536,0.888000011444092
80,"ALABAMA","Democrat","BATTLE  L.",-0.0839999988675117,0.842000007629395
80,"ARIZONA","Democrat","HARLESS  R.",-0.171000003814697,0.096000000834465
80,"ARIZONA","Democrat","MURDOCK  J.",-0.241999998688698,0.379999995231628
80,"ARKANSA","Democrat","GATHINGS",0.0799999982118607,0.926999986171722
80,"ARKANSA","Democrat","MILLS  W.",-0.108000002801418,0.907000005245209
80,"ARKANSA","Democrat","TRIMBLE  J.",-0.218999996781349,0.920000016689301
80,"ARKANSA","Democrat","CRAVENS  F.",0.149000003933907,1.0460000038147
80,"ARKANSA","Democrat","HAYS  B.",-0.168999999761581,0.726999998092651
80,"ARKANSA","Democrat","NORRELL  W.",0.0509999990463257,1.01699995994568
80,"ARKANSA","Democrat","HARRIS  O.",-0.0509999990463257,0.90200001001358
80,"CALIFOR","Democrat","LEA  C.",-0.0399999991059303,0.382999986410141
80,"CALIFOR","Democrat","ENGLE  C.",-0.0689999982714653,0.112999998033047
80,"CALIFOR","Republican","JOHNSON  L.",0.114000000059605,-0.25
80,"CALIFOR","Democrat","HAVENNER",-0.354000002145767,-0.196999996900558
80,"CALIFOR","Republican","WELCH  R.",-0.158000007271767,-0.976000010967255
80,"CALIFOR","Democrat","MILLER  G.",-0.397000014781952,0.211999997496605
80,"CALIFOR","Republican","ALLEN  J.",0.252999991178513,-0.342000007629395
80,"CALIFOR","Republican","ANDERSON",0.25,-0.0509999990463257
80,"CALIFOR","Republican","GEARHART",0.215000003576279,-0.105999998748302
80,"CALIFOR","Democrat","ELLIOTT  A.",0.149000003933907,0.405000001192093
80,"CALIFOR","Republican","BRAMBLETT",0.293999999761581,-0.243000000715256
80,"CALIFOR","Republican","NIXON  R.",0.17399999499321,-0.345999985933304
80,"CALIFOR","Republican","POULSON  N.",0.194999992847443,-0.483999997377396
80,"CALIFOR","Democrat","DOUGLAS  H.",-0.527999997138977,-0.216999992728233
80,"CALIFOR","Republican","MCDONOUGH",0.122000001370907,-0.458000004291534
80,"CALIFOR","Republican","JACKSON  D.",0.217999994754791,-0.349000006914139
80,"CALIFOR","Democrat","KING  C.",-0.375,0.0979999974370003
80,"CALIFOR","Republican","BRADLEY  W.",0.241999998688698,-0.425999999046326
80,"CALIFOR","Democrat","HOLIFIELD",-0.421999990940094,0.244000002741814
80,"CALIFOR","Republican","HINSHAW  C.",0.160999998450279,-0.321999996900558
80,"CALIFOR","Democrat","SHEPPARD",-0.172999992966652,0.273000001907349
80,"CALIFOR","Republican","PHILLIPS",0.416000008583069,-0.272000014781952
80,"CALIFOR","Republican","FLETCHER",0.237000003457069,-0.395000010728836
80,"COLORAD","Democrat","CARROLL  J.",-0.451999992132187,0.163000002503395
80,"COLORAD","Republican","HILL  W.",0.256999999284744,-0.129999995231628
80,"COLORAD","Republican","CHENOWETH",0.233999997377396,-0.25900000333786
80,"COLORAD","Republican","ROCKWELL",0.32600000500679,-0.025000000372529
80,"CONNECT","Republican","MILLER  W.",0.0900000035762787,-0.699999988079071
80,"CONNECT","Republican","SEELY-BROWN",0.100000001490116,-0.764999985694885
80,"CONNECT","Republican","FOOTE  E.B.",0.116999998688698,-0.794000029563904
80,"CONNECT","Republican","LODGE  J.D.",0.0759999975562096,-0.716000020503998
80,"CONNECT","Republican","PATTERSON",0.180000007152557,-0.732999980449677
80,"CONNECT","Republican","SADLAK  A.",0.225999996066093,-0.674000024795532
80,"DELAWAR","Republican","BOGGS  J.",0.196999996900558,-0.456999987363815
80,"FLORIDA","Democrat","PETERSON",-0.0560000017285347,0.790000021457672
80,"FLORIDA","Democrat","PRICE  E.",-0.0160000007599592,0.795000016689301
80,"FLORIDA","Democrat","SIKES  R.",-0.0450000017881393,0.90200001001358
80,"FLORIDA","Democrat","SMATHERS",-0.096000000834465,0.833999991416931
80,"FLORIDA","Democrat","HENDRICKS",-0.0230000000447035,0.739000022411346
80,"FLORIDA","Democrat","ROGERS  D.",0.0209999997168779,0.870999991893768
80,"GEORGIA","Democrat","PRESTON  P.",-0.0469999983906746,0.879999995231628
80,"GEORGIA","Democrat","COX  E.",0.115000002086163,1.10500001907349
80,"GEORGIA","Democrat","PACE  S.",-0.0370000004768372,0.987999975681305
80,"GEORGIA","Democrat","CAMP  A.",-0.0820000022649765,0.986000001430511
80,"GEORGIA","Democrat","DAVIS  J.",0.109999999403954,0.897000014781952
80,"GEORGIA","Democrat","VINSON  C.",-0.129999995231628,0.822000026702881
80,"GEORGIA","Democrat","LANHAM  H.",-0.175999999046326,0.871999979019165
80,"GEORGIA","Democrat","WHEELER  W.",0.172999992966652,0.985000014305115
80,"GEORGIA","Democrat","WOOD  J.",0.150000005960464,1.01699995994568
80,"GEORGIA","Democrat","BROWN  P.",-0.104999996721745,0.995000004768372
80,"IDAHO","Republican","GOFF  A.",0.257999986410141,-0.264999985694885
80,"IDAHO","Republican","SANBORN  J.",0.395999997854233,-0.272000014781952
80,"ILLINOI","Democrat","DAWSON  W.",-0.492000013589859,0.150000005960464
80,"ILLINOI","Republican","VAIL  R.",0.449000000953674,-0.328000009059906
80,"ILLINOI","Republican","BUSBEY  F.",0.444000005722046,-0.246999993920326
80,"ILLINOI","Democrat","GORSKI  M.",-0.314999997615814,-0.136000007390976
80,"ILLINOI","Democrat","SABATH  A.",-0.455000013113022,-0.275999993085861
80,"ILLINOI","Democrat","O'BRIEN  T.",-0.263999998569489,-0.245000004768372
80,"ILLINOI","Republican","OWENS  T.",0.46399998664856,-0.864000022411346
80,"ILLINOI","Democrat","GORDON  T.",-0.34799998998642,-0.148000001907349
80,"ILLINOI","Republican","TWYMAN  R.",0.391999989748001,-0.920000016689301
80,"ILLINOI","Republican","CHURCH  R.",0.428999990224838,-0.30799999833107
80,"ILLINOI","Republican","REED  C.",0.358000010251999,-0.275999993085861
80,"ILLINOI","Republican","MASON  N.",0.513000011444092,0.00700000021606684
80,"ILLINOI","Republican","ALLEN  L.",0.35699999332428,-0.187999993562698
80,"ILLINOI","Republican","JOHNSON  A.",0.533999979496002,-0.0419999994337559
80,"ILLINOI","Republican","CHIPERFIELD",0.324000000953674,-0.404000014066696
80,"ILLINOI","Republican","DIRKSEN  E.",0.228000000119209,-0.372000008821487
80,"ILLINOI","Republican","ARENDS  L.",0.293999999761581,-0.30799999833107
80,"ILLINOI","Republican","JENISON  E.",0.44200000166893,-0.277999997138977
80,"ILLINOI","Republican","MCMILLEN",0.287999987602234,-0.151999995112419
80,"ILLINOI","Republican","SIMPSON  S.",0.300999999046326,0.00600000005215406
80,"ILLINOI","Republican","HOWELL  E.",0.294999986886978,-0.470999985933304
80,"ILLINOI","Democrat","PRICE  C.",-0.404000014066696,0.204999998211861
80,"ILLINOI","Republican","VURSELL  C.",0.432000011205673,-0.217999994754791
80,"ILLINOI","Republican","CLIPPINGER",0.455000013113022,-0.412999987602234
80,"ILLINOI","Republican","BISHOP  C.",0.432000011205673,-0.665000021457672
80,"ILLINOI","Republican","STRATTON",0.194000005722046,-0.331999987363815
80,"INDIANA","Democrat","MADDEN  R.",-0.372000008821487,0.0270000007003546
80,"INDIANA","Republican","HALLECK  C.",0.275000005960464,-0.372999995946884
80,"INDIANA","Republican","GRANT  R.",0.381000012159348,-0.572000026702881
80,"INDIANA","Republican","GILLIE  G.",0.409000009298325,-0.236000001430511
80,"INDIANA","Republican","HARNESS  F.",0.486000001430511,-0.328000009059906
80,"INDIANA","Republican","JOHNSON  N.",0.328999996185303,-0.551999986171722
80,"INDIANA","Republican","LANDIS  G.",0.40200001001358,-0.270000010728836
80,"INDIANA","Republican","MITCHELL",0.261000007390976,-0.736999988555908
80,"INDIANA","Republican","WILSON  E.",0.342999994754791,-0.25900000333786
80,"INDIANA","Republican","SPRINGER",0.391999989748001,-0.370999991893768
80,"INDIANA","Republican","HARVEY  R.",0.263999998569489,-0.13400000333786
80,"INDIANA","Democrat","LUDLOW  L.",-0.130999997258186,-0.456999987363815
80,"IOWA","Republican","MARTIN  T.",0.30799999833107,0.0199999995529652
80,"IOWA","Republican","TALLE  H.",0.266999989748001,-0.0839999988675117
80,"IOWA","Republican","GWYNNE  J.",0.395000010728836,0.162000000476837
80,"IOWA","Republican","LECOMPTE",0.263000011444092,-0.119000002741814
80,"IOWA","Republican","CUNNINGHAM",0.214000001549721,-0.195999994874001
